"ID"	"Year"
"1"	"PADE_00002L2010"	NA
"2"	"PADE_00003L2011"	NA
"3"	"PADE_00004L2012"	NA
"4"	"PADE_00005L2066"	NA
"5"	"PADE_00006L2014"	NA
"6"	"PADE_00008L2016"	NA
"7"	"PADE_00009L2150"	NA
"8"	"PADE_00010L2101"	NA
"9"	"PADE_00012L2058"	NA
"10"	"PADE_00013L1992"	NA
"11"	"PADE_00014L1993"	NA
"12"	"PADE_00015L2059"	NA
"13"	"PADE_00016L2060"	NA
"14"	"PADE_00017L2078"	NA
"15"	"PADE_01003L2108"	NA
"16"	"PADE_01004L2017"	NA
"17"	"PADE_01005L2018"	NA
"18"	"PADE_01006L2109"	NA
"19"	"PADE_01008L2019"	NA
"20"	"PADE_01009L2020"	NA
"21"	"PADE_01010L2069"	NA
"22"	"PADE_01011L2070"	NA
"23"	"PADE_01012L2071"	NA
"24"	"PADE_01013L2072"	NA
"25"	"PADE_01014L2182"	NA
"26"	"PADE_01015L2110"	NA
"27"	"PADE_01016L2021"	NA
"28"	"PADE_01017L2073"	NA
"29"	"PADE_01018L1994"	NA
"30"	"PADE_01021L1995"	NA
"31"	"PADE_01022L1996"	NA
"32"	"PADE_01023L2104"	NA
"33"	"PADE_01025L1997"	NA
"34"	"PADE_01026L2061"	NA
"35"	"PADE_01027L1998"	NA
"36"	"PADE_01028L1999"	NA
"37"	"PADE_01029L2000"	NA
"38"	"PADE_01030L2001"	NA
"39"	"PADE_01031L2079"	NA
"40"	"PADE_02001L2022"	NA
"41"	"PADE_02002L2023"	NA
"42"	"PADE_02003L2111"	NA
"43"	"PADE_02004L2112"	NA
"44"	"PADE_02005L2024"	NA
"45"	"PADE_02006L2025"	NA
"46"	"PADE_02007L2026"	NA
"47"	"PADE_02008L2028"	NA
"48"	"PADE_02009L2029"	NA
"49"	"PADE_02010L2123"	NA
"50"	"PADE_02011L2124"	NA
"51"	"PADE_02012L2170"	NA
"52"	"PADE_02013L2171"	NA
"53"	"PADE_02014L2172"	NA
"54"	"PADE_02015L2199"	NA
"55"	"PADE_02016L2173"	NA
"56"	"PADE_02017L2174"	NA
"57"	"PADE_02018L2125"	NA
"58"	"PADE_02019L2126"	NA
"59"	"PADE_08021L1789"	NA
"60"	"PADE_08022L1790"	NA
"61"	"PADE_08023L1791"	NA
"62"	"PADE_08024L1795"	NA
"63"	"PADE_08025L1796"	NA
"64"	"PADE_08026L1797"	NA
"65"	"PADE_08027L1798"	NA
"66"	"PADE_08028L1799"	NA
"67"	"PADE_08029L1800"	NA
"68"	"PADE_08030L1801"	NA
"69"	"PADE_08031L1802"	NA
"70"	"PADE_08032L1803"	NA
"71"	"PADE_08033L1804"	NA
"72"	"PADE_08034L1805"	NA
"73"	"PADE_08035L1806"	NA
"74"	"PADE_08036L1807"	NA
"75"	"PADE_08037L1808"	NA
"76"	"PADE_08038L1809"	NA
"77"	"PADE_08039L1810"	NA
"78"	"PADE_08040L1811"	NA
"79"	"PADE_08041L1812"	NA
"80"	"PADE_08042L1813"	NA
"81"	"PADE_08043L1814"	NA
"82"	"PADE_08044L1815"	NA
"83"	"PADE_08045L1816"	NA
"84"	"PADE_08046L1946"	NA
"85"	"PADE_08047L1947"	NA
"86"	"PADE_08048L1948"	NA
"87"	"PADE_08049L1845"	NA
"88"	"PADE_08050L1949"	NA
"89"	"PADE_08051L1846"	NA
"90"	"PADE_08052L1847"	NA
"91"	"PADE_08053L1848"	NA
"92"	"PADE_08054L1849"	NA
"93"	"PADE_08055L1850"	NA
"94"	"PADE_08056L1958"	NA
"95"	"PADE_08057L1874"	NA
"96"	"PADE_08058L1875"	NA
"97"	"PADE_08059L1876"	NA
